,Actual,RF,BP,MLP
24579,0.01506666559726,0.013776333360001296,0.017735172502420682,0.10184789270717814
15370,0.040000002831221,0.04495032942232988,0.04673894558662167,0.04153914403095754
14637,0.0,0.0,0.008253989319073451,0.0
18136,0.0,0.0,0.0,0.003195232663151193
640,0.0,0.0,0.0,0.0
866,0.0,0.0,0.006461244653072573,0.003569712549209958
5910,0.10309997946024,0.1030216386914255,0.10292725917569628,0.10791630157700588
3789,0.0,0.0,0.0,0.0
24624,0.093199983239174,0.09758798316121096,0.1009905274256559,0.08462651939236693
10134,0.0,0.0,0.0,0.0
3734,0.0,0.0,0.0034269488118646163,0.0
11818,0.0,0.0,0.017172806156635245,0.0017347285943198343
4110,0.0,0.0,0.004698782279716041,0.0
7473,0.0,0.0,0.0,0.019293785274007325
14752,0.0,0.0,0.005843934991115296,0.002104876546525636
20805,0.0,0.0,0.0016808623494584674,0.0
18700,0.0,0.0,0.0,0.003564312122499247
19084,0.0,0.0,0.0001759151242153867,0.0
5466,0.0,0.0,0.0,0.0012186021784352241
9987,0.070000022649765,0.07131634578108781,0.07704231719450122,0.06844421137784046
12519,0.090000003576279,0.09236099399626284,0.08014767392178374,0.08854043944889994
1483,0.0,0.0,0.0,0.0
23926,0.0,0.0,0.013276918239075786,0.0002020505997858968
7500,0.0,0.0,0.020171233627353014,0.0
4405,0.0,0.0,0.0075334615287432904,0.0
9129,0.059999972581863,0.06761300802230835,0.06563384183859605,0.02739805861191863
2884,0.0,0.0,0.007112332942938615,0.0
6625,0.0,0.0,0.0,0.0
2981,0.039099998772144,0.037441664077341674,0.029223114052718435,0.03193228702696066
16243,0.059999972581863,0.06039964184164977,0.06522787268937075,0.07498813862310921
752,0.080000005662441,0.09812864027917342,0.0933247385355252,0.08990754325587597
20413,0.0,0.0,0.0,0.0
6802,0.090000003576279,0.0834080028533935,0.08439934872835347,0.10131892436623907
13082,0.070000022649765,0.08090333789587012,0.05633240525318445,0.07030022128240881
1108,0.0,0.0,0.0,0.016057855682613587
14344,0.0,0.0,0.008700582277589464,0.0
24283,0.0,0.0014319999458530161,0.016692336363068272,0.07080649144567225
16580,0.099999979138374,0.10398863546550215,0.09867401490655142,0.11185406417388272
4400,0.0,0.0,0.00182084204466465,0.0
5621,0.099999979138374,0.10123497638851386,0.08912472996403792,0.06731885342453253
5625,0.099999979138374,0.10184297438710888,0.08820702129269281,0.06535201467491575
24681,0.040000002831221,0.04154299933463348,0.05489062712581677,0.04472499059433982
7007,0.02000000141561,0.023938993830233693,0.03852008360411202,0.033433065755225255
23633,0.0,0.0,0.00405726934853351,0.0
9880,0.0,0.0,0.0,0.0
4953,0.0,0.0,0.005802439783776647,0.0
23674,0.0,0.0,0.023920967179972996,0.03350428900018393
16191,0.0,0.0,0.00417258693038175,0.03472651130142296
18245,0.029999986290932,0.030495986975729653,0.012483349821977685,0.02331075324316728
18783,0.0,0.0,0.0,0.0
1804,0.0,0.0,0.0,0.0
6846,0.0,8.2666666130536e-05,0.005667400287956592,0.03873560785500224
10356,0.0,0.0,0.009122906775275885,0.0011396867673302835
23332,0.0,0.0,0.0,0.0
19135,0.080000005662441,0.08150067165493963,0.06522250989535322,0.08576538678491502
13083,0.073033347725868,0.08141667120158665,0.05731126061316277,0.07140036552960666
15977,0.090000003576279,0.09253366105258481,0.09580148957012075,0.08950913763098572
5198,0.0,0.0,0.0012262703319295132,0.007299632236901166
11607,0.0,4.999999873689001e-06,0.016269307819747836,0.0
21332,0.0,0.0,0.002463865388681763,0.0001433156514054068
11047,0.040000002831221,0.0396583347395064,0.022383047217861718,0.03238229560229472
15363,0.029866654425859,0.02964098695665627,0.03133577482558475,0.025376622580377484
4421,0.039466667920351,0.03743099723011276,0.03345773413455949,0.034326082335108976
23064,0.0,0.0,0.0060556982778446344,0.0
5553,0.0,0.0,0.004555554276769069,0.0
20396,0.0,0.0,0.0,0.0
8088,0.0,0.0,0.002669621973575176,0.0
5508,0.0,0.0,0.012324786803106946,0.000682117408742966
18666,0.0,0.0,0.0,0.03463955725588791
2604,0.0,0.0,0.0030994692412683045,0.0
