pred,true
[2.2947586],[2.6861336]
[4.9080358],[3.8679333]
[6.150862],[5.0952]
[7.80025],[6.3231335]
[8.869196],[7.5385327]
[10.043848],[8.7062]
[11.059693],[9.8127]
[12.097372],[10.843034]
[13.044209],[11.778567]
[13.917741],[12.704767]
[14.729705],[13.495033]
[15.455782],[14.232734]
[16.102697],[14.8475]
[16.5016],[15.410234]
[16.773672],[15.876634]
[16.973398],[16.383701]
[17.104826],[16.661167]
[17.142714],[16.984867]
[17.218052],[17.094534]
[17.189413],[17.252565]
[17.21022],[17.313332]
[17.19456],[17.199]
[17.076262],[17.152433]
[16.873915],[17.09]
[16.873245],[16.9098]
[16.566675],[16.740366]
[16.469595],[16.3084]
[16.234518],[15.978333]
[16.04143],[15.454933]
[15.700277],[14.924567]
[15.358054],[14.267466]
[14.879369],[13.649]
[14.37837],[12.947734]
[13.753111],[12.114934]
[12.815906],[11.3007]
[11.672634],[10.400067]
[10.672435],[9.428567]
[9.60211],[8.303567]
[8.312659],[7.1541343]
[7.284744],[6.0279]
[6.321345],[4.8206334]
[5.2047715],[3.6244333]
[3.9251993],[2.5158331]
[2.752948],[1.5404665]
[1.6167843],[0.7861334]
[0.6518401],[0.3224]
[0.13876787],[0.16146664]
[0.06087604],[0.03496666]
[0.09468725],[-0.0006]
[0.12569177],[-0.00013333]
[0.9786731],[0.05846667]
[1.6655103],[0.27546662]
[1.908081],[0.44050005]
[2.2422154],[1.5194666]
[2.4629238],[2.6608334]
[4.802673],[3.8115]
[6.0542784],[4.9937663]
[7.621038],[6.1700997]
[8.6138935],[7.3079]
[9.691163],[8.426534]
[10.6839075],[9.4761]
[11.716135],[10.458834]
[12.657561],[11.3262005]
[13.502675],[12.147934]
[14.298129],[12.912533]
[15.037304],[13.612567]
[15.694638],[14.168366]
[16.153479],[14.694135]
[16.45776],[15.1298]
[16.680218],[15.533167]
[16.82992],[15.906234]
[16.904257],[16.257933]
[16.98178],[16.427967]
[16.975441],[16.637033]
[16.995295],[16.857533]
[16.98387],[16.7205]
[16.795656],[16.707466]
[16.644335],[16.5999]
[16.648573],[16.3732]
[16.303646],[16.115067]
[16.134369],[15.922733]
[15.869813],[15.534999]
[15.602115],[15.286267]
[15.284582],[14.6912]
[14.963535],[14.008266]
[14.443088],[13.269867]
[13.7928],[12.571401]
