pred,true
[15.892845],17.0412
[16.09959],17.152601
[16.155558],17.095533
[16.151995],17.459467
[16.244862],17.335133
[16.255112],17.413467
[16.16448],17.273266
[16.12402],17.104866
[15.879872],16.782267
[15.685332],16.4858
[15.257454],16.0474
[14.778046],15.6414
[14.171708],15.101
[13.819118],14.506667
[13.357017],13.848001
[12.807192],13.062067
[12.161753],12.2866
[11.432741],11.4081335
[10.653888],10.440533
[9.681682],9.420668
[8.784169],8.299133
[7.889969],7.1368666
[7.120002],5.9167333
[6.389819],4.7014
[5.730689],3.4810667
[4.917512],2.3196666
[3.85087],1.3589333
[2.4614072],0.6515334
[0.8226288],0.24046664
[0.35417205],0.05839999
[0.14179659],0.0
[0.11930174],0.0
[0.1216709],0.0
[0.11895114],0.0
[0.10968411],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.12606665
0,0.49940002
0,1.3727
[1.1941705],2.4166331
[2.2424428],3.6145334
[4.3334994],4.8652997
[5.3634377],6.1121335
[6.7281084],7.3407
[7.895744],8.5204
[9.116142],9.659034
[10.427024],10.714301
[11.536568],11.674634
[12.431464],12.582433
[13.050933],13.349234
[13.591424],14.096001
[14.08542],14.768967
[14.581403],15.351299
[14.990811],15.854767
[15.33254],16.270535
[15.652253],16.614532
[15.8761425],16.862432
[16.078384],17.099466
[16.181915],17.243568
[16.237495],17.3477
[16.278057],17.2607
[16.29736],17.363335
[16.246553],17.181934
[16.168478],17.147532
[15.904742],16.8062
[15.655147],16.396267
[15.251693],16.019867
[14.792936],15.625234
[14.293487],15.135933
[13.906369],14.479168
[13.402801],13.789466
[12.838012],13.065901
[12.263392],12.266133
[11.580626],11.4546995
[10.806823],10.5064
[9.902794],9.399799
[8.959982],8.333734
[8.054136],7.1829667
[7.275346],5.9638667
[6.516793],4.7395663
[5.8453083],3.5078332
[5.0641847],2.3577664
